action_code,actor,actor_role,camera_movement,changed,clip_end_frame,clip_start_frame,criterion,description,end_direction,end_frame,example_id,mind_change,rank,retraction_direction_code,start_direction,start_frame,target_context_1,target_context_2,target_structure,tool_type,triplet,video_id
DISSECT,right,,,,1050,450,C2,"The hook dissects around the cystic artery, between cystic artery and cystic plate.",,690,00467596-8200-449c-8528-d4816ec2f6a2__C2__avg__c_000450_001050,unsatisfied->satisfied,1,,,450,between cystic artery and cystic plate,(not set),CysticArtery,Hook,"[""Hook"", ""DISSECT"", ""CysticArtery""]",00467596-8200-449c-8528-d4816ec2f6a2
CAMERA_UNCERTAIN,camera,,CAMERA_UNCERTAIN,,1050,450,C2,The camera is uncertain.,,1050,00467596-8200-449c-8528-d4816ec2f6a2__C2__avg__c_000450_001050,unsatisfied->satisfied,3,,,450,,,,,,00467596-8200-449c-8528-d4816ec2f6a2
,left,,,no,1650,1350,C2,The grasper keeps the gallbladder neck retracted medial.,medial,1650,00467596-8200-449c-8528-d4816ec2f6a2__C2__avg__c_001350_001650,unsatisfied->satisfied,2,KEEP_RETRACT_MEDIAL,medial,1350,,,,,,00467596-8200-449c-8528-d4816ec2f6a2
COAGULATE_HEMOSTASIS,right,,,,1650,1350,C2,"The hook coagulate hemostasis the cystic artery, between cystic artery and cystic plate.",,1650,00467596-8200-449c-8528-d4816ec2f6a2__C2__avg__c_001350_001650,unsatisfied->satisfied,1,,,1350,between cystic artery and cystic plate,(not set),CysticArtery,Hook,"[""Hook"", ""COAGULATE_HEMOSTASIS"", ""CysticArtery""]",00467596-8200-449c-8528-d4816ec2f6a2
,left,,,yes,2400,2100,C2,The grasper retracts the gallbladder neck from not retracted to lateral.,lateral,2160,00467596-8200-449c-8528-d4816ec2f6a2__C2__avg__c_002100_002400,unsatisfied->satisfied,3,RETRACT_LATERAL,not_retracted,2100,,,,,,00467596-8200-449c-8528-d4816ec2f6a2
DISSECT,right,,,,2400,2100,C2,"The hook dissects around the cystic artery, between cystic artery and cystic plate, and close to the gallbladder neck.",,2280,00467596-8200-449c-8528-d4816ec2f6a2__C2__avg__c_002100_002400,unsatisfied->satisfied,1,,,2160,between cystic artery and cystic plate,close to the gallbladder neck,CysticArtery,Hook,"[""Hook"", ""DISSECT"", ""CysticArtery""]",00467596-8200-449c-8528-d4816ec2f6a2
CAMERA_REPOSITION,camera,,CAMERA_REPOSITION,,2400,2100,C2,The camera repositions.,,2250,00467596-8200-449c-8528-d4816ec2f6a2__C2__avg__c_002100_002400,unsatisfied->satisfied,2,,,2100,,,,,,00467596-8200-449c-8528-d4816ec2f6a2
CAMERA_ZOOM_OUT,camera,,CAMERA_ZOOM_OUT,,2400,2100,C2,The camera zooms out.,,2400,00467596-8200-449c-8528-d4816ec2f6a2__C2__avg__c_002100_002400,unsatisfied->satisfied,2,,,2250,,,,,,00467596-8200-449c-8528-d4816ec2f6a2
,left,,,no,1950,1650,C1,The grasper keeps the gallbladder neck retracted lateral.,lateral,1950,004fa282-7e76-473e-bf34-01fe831368dc__C1__avg__c_001650_001950,unsatisfied->satisfied,2,KEEP_RETRACT_LATERAL,lateral,1650,,,,,,004fa282-7e76-473e-bf34-01fe831368dc
DISSECT,right,,,,1950,1650,C1,"The hook dissects around the cystic duct, between presumed cystic duct and presumed cystic artery.",,1770,004fa282-7e76-473e-bf34-01fe831368dc__C1__avg__c_001650_001950,unsatisfied->satisfied,1,,,1650,between presumed cystic duct and presumed cystic artery,(not set),CysticDuct,Hook,"[""Hook"", ""DISSECT"", ""CysticDuct""]",004fa282-7e76-473e-bf34-01fe831368dc
DISSECT,right,,,,1950,1650,C1,"The hook dissects around the cystic plate, between cystic artery and cystic plate.",,1950,004fa282-7e76-473e-bf34-01fe831368dc__C1__avg__c_001650_001950,unsatisfied->satisfied,1,,,1770,between cystic artery and cystic plate,(not set),CysticPlate,Hook,"[""Hook"", ""DISSECT"", ""CysticPlate""]",004fa282-7e76-473e-bf34-01fe831368dc
,left,,,no,1050,450,C2,The grasper keeps the gallbladder neck retracted lateral.,lateral,1050,004fa282-7e76-473e-bf34-01fe831368dc__C2__avg__c_000450_001050,unsatisfied->satisfied,2,KEEP_RETRACT_LATERAL,lateral,450,,,,,,004fa282-7e76-473e-bf34-01fe831368dc
DISSECT,right,,,,1050,450,C2,"The hook dissects around the hepatocystic triangle, between presumed cystic duct and presumed cystic artery.",,1050,004fa282-7e76-473e-bf34-01fe831368dc__C2__avg__c_000450_001050,unsatisfied->satisfied,1,,,450,between presumed cystic duct and presumed cystic artery,(not set),HepatocysticTriangle,Hook,"[""Hook"", ""DISSECT"", ""HepatocysticTriangle""]",004fa282-7e76-473e-bf34-01fe831368dc
,left,,,yes,2100,1350,C3,The grasper retracts the gallbladder neck from lateral to upward.,upward,1380,004fa282-7e76-473e-bf34-01fe831368dc__C3__avg__c_001350_002100,unsatisfied->satisfied,2,RETRACT_LATERAL_TO_UPWARD,lateral,1350,,,,,,004fa282-7e76-473e-bf34-01fe831368dc
,left,,,yes,2100,1350,C3,The grasper retracts the gallbladder neck from upward to lateral.,lateral,1590,004fa282-7e76-473e-bf34-01fe831368dc__C3__avg__c_001350_002100,unsatisfied->satisfied,3,RETRACT_UPWARD_TO_LATERAL,upward,1560,,,,,,004fa282-7e76-473e-bf34-01fe831368dc
DISSECT,right,,,,2100,1350,C3,The hook dissects around the cystic plate.,,1530,004fa282-7e76-473e-bf34-01fe831368dc__C3__avg__c_001350_002100,unsatisfied->satisfied,1,,,1380,(not set),(not set),CysticPlate,Hook,"[""Hook"", ""DISSECT"", ""CysticPlate""]",004fa282-7e76-473e-bf34-01fe831368dc
DISSECT,right,,,,2100,1350,C3,"The hook dissects around the cystic duct, between presumed cystic duct and presumed cystic artery.",,1740,004fa282-7e76-473e-bf34-01fe831368dc__C3__avg__c_001350_002100,unsatisfied->satisfied,1,,,1680,between presumed cystic duct and presumed cystic artery,(not set),CysticDuct,Hook,"[""Hook"", ""DISSECT"", ""CysticDuct""]",004fa282-7e76-473e-bf34-01fe831368dc
DISSECT,right,,,,2100,1350,C3,"The hook dissects around the cystic plate, between presumed cystic duct and presumed cystic artery.",,1950,004fa282-7e76-473e-bf34-01fe831368dc__C3__avg__c_001350_002100,unsatisfied->satisfied,1,,,1770,between presumed cystic duct and presumed cystic artery,(not set),CysticPlate,Hook,"[""Hook"", ""DISSECT"", ""CysticPlate""]",004fa282-7e76-473e-bf34-01fe831368dc
DISSECT,right,,,,2100,1350,C3,"The hook dissects around the cystic duct, between presumed cystic duct and presumed cystic artery.",,2070,004fa282-7e76-473e-bf34-01fe831368dc__C3__avg__c_001350_002100,unsatisfied->satisfied,1,,,2010,between presumed cystic duct and presumed cystic artery,(not set),CysticDuct,Hook,"[""Hook"", ""DISSECT"", ""CysticDuct""]",004fa282-7e76-473e-bf34-01fe831368dc
,left,,,no,1500,1050,C3,The grasper keeps the gallbladder neck retracted lateral.,lateral,1500,01950655-a507-4514-abe5-d13ff593ec4d__C3__avg__c_001050_001500,unsatisfied->satisfied,2,KEEP_RETRACT_LATERAL,lateral,1050,,,,,,01950655-a507-4514-abe5-d13ff593ec4d
DISSECT,right,,,,1500,1050,C3,"The hook dissects around the hepatocystic triangle, near the cystic plate.",,1500,01950655-a507-4514-abe5-d13ff593ec4d__C3__avg__c_001050_001500,unsatisfied->satisfied,1,,,1050,near the cystic plate,(not set),HepatocysticTriangle,Hook,"[""Hook"", ""DISSECT"", ""HepatocysticTriangle""]",01950655-a507-4514-abe5-d13ff593ec4d
CAMERA_NO_CHANGE,camera,,CAMERA_NO_CHANGE,,1500,1050,C3,The camera does not change.,,1500,01950655-a507-4514-abe5-d13ff593ec4d__C3__avg__c_001050_001500,unsatisfied->satisfied,3,,,1050,,,,,,01950655-a507-4514-abe5-d13ff593ec4d
,left,,,no,2400,1950,C3,The grasper keeps the gallbladder neck retracted lateral.,lateral,2400,01950655-a507-4514-abe5-d13ff593ec4d__C3__avg__c_001950_002400,unsatisfied->satisfied,2,KEEP_RETRACT_LATERAL,lateral,1950,,,,,,01950655-a507-4514-abe5-d13ff593ec4d
DISSECT,right,,,,2400,1950,C3,"The hook dissects around the hepatocystic triangle, near the cystic plate.",,2400,01950655-a507-4514-abe5-d13ff593ec4d__C3__avg__c_001950_002400,unsatisfied->satisfied,1,,,1950,near the cystic plate,(not set),HepatocysticTriangle,Hook,"[""Hook"", ""DISSECT"", ""HepatocysticTriangle""]",01950655-a507-4514-abe5-d13ff593ec4d
,left,,,yes,1050,450,C2,The grasper retracts the gallbladder neck from not retracted to lateral.,lateral,690,021ebd6a-3195-40ac-b86d-99ac5e5ef621__C2__avg__c_000450_001050,unsatisfied->satisfied,2,RETRACT_LATERAL,not_retracted,630,,,,,,021ebd6a-3195-40ac-b86d-99ac5e5ef621
DISSECT,right,,,,1050,450,C2,"The maryland dissects around the hepatocystic triangle, between presumed cystic duct and presumed cystic artery.",,1050,021ebd6a-3195-40ac-b86d-99ac5e5ef621__C2__avg__c_000450_001050,unsatisfied->satisfied,1,,,690,between presumed cystic duct and presumed cystic artery,(not set),HepatocysticTriangle,Maryland,"[""Maryland"", ""DISSECT"", ""HepatocysticTriangle""]",021ebd6a-3195-40ac-b86d-99ac5e5ef621
,left,,,yes,900,450,C3,The grasper retracts the gallbladder neck from not retracted to lateral.,lateral,690,021ebd6a-3195-40ac-b86d-99ac5e5ef621__C3__avg__c_000450_000900,unsatisfied->satisfied,1,RETRACT_LATERAL,not_retracted,630,,,,,,021ebd6a-3195-40ac-b86d-99ac5e5ef621
CAMERA_ZOOM_IN,camera,,CAMERA_ZOOM_IN,,900,450,C3,The camera zooms in.,,900,021ebd6a-3195-40ac-b86d-99ac5e5ef621__C3__avg__c_000450_000900,unsatisfied->satisfied,2,,,750,,,,,,021ebd6a-3195-40ac-b86d-99ac5e5ef621
,left,,,no,2100,1500,C1,The grasper keeps the gallbladder neck retracted lateral.,lateral,2100,0405e4b0-843a-469d-a235-6a12383bc1db__C1__avg__c_001500_002100,unsatisfied->satisfied,2,KEEP_RETRACT_LATERAL,lateral,1500,,,,,,0405e4b0-843a-469d-a235-6a12383bc1db
DISSECT,right,,,,2100,1500,C1,"The hook dissects around the cystic duct, between presumed cystic duct and presumed cystic artery.",,1680,0405e4b0-843a-469d-a235-6a12383bc1db__C1__avg__c_001500_002100,unsatisfied->satisfied,1,,,1500,between presumed cystic duct and presumed cystic artery,(not set),CysticDuct,Hook,"[""Hook"", ""DISSECT"", ""CysticDuct""]",0405e4b0-843a-469d-a235-6a12383bc1db
DISSECT,right,,,,2100,1500,C1,"The hook dissects around the cystic artery, between cystic artery and cystic plate.",,1890,0405e4b0-843a-469d-a235-6a12383bc1db__C1__avg__c_001500_002100,unsatisfied->satisfied,1,,,1710,between cystic artery and cystic plate,(not set),CysticArtery,Hook,"[""Hook"", ""DISSECT"", ""CysticArtery""]",0405e4b0-843a-469d-a235-6a12383bc1db
DISSECT,right,,,,2100,1500,C1,"The hook dissects around the cystic duct, between presumed cystic duct and presumed cystic artery.",,2070,0405e4b0-843a-469d-a235-6a12383bc1db__C1__avg__c_001500_002100,unsatisfied->satisfied,1,,,1860,between presumed cystic duct and presumed cystic artery,(not set),CysticDuct,Hook,"[""Hook"", ""DISSECT"", ""CysticDuct""]",0405e4b0-843a-469d-a235-6a12383bc1db
,left,,,no,2100,1500,C2,The grasper keeps the gallbladder neck retracted lateral.,lateral,2100,0405e4b0-843a-469d-a235-6a12383bc1db__C2__avg__c_001500_002100,unsatisfied->satisfied,2,KEEP_RETRACT_LATERAL,lateral,1500,,,,,,0405e4b0-843a-469d-a235-6a12383bc1db
DISSECT,right,,,,2100,1500,C2,"The hook dissects around the cystic duct, between presumed cystic duct and presumed cystic artery.",,1680,0405e4b0-843a-469d-a235-6a12383bc1db__C2__avg__c_001500_002100,unsatisfied->satisfied,1,,,1500,between presumed cystic duct and presumed cystic artery,(not set),CysticDuct,Hook,"[""Hook"", ""DISSECT"", ""CysticDuct""]",0405e4b0-843a-469d-a235-6a12383bc1db
DISSECT,right,,,,2100,1500,C2,"The hook dissects around the cystic artery, between cystic artery and cystic plate.",,1890,0405e4b0-843a-469d-a235-6a12383bc1db__C2__avg__c_001500_002100,unsatisfied->satisfied,1,,,1710,between cystic artery and cystic plate,(not set),CysticArtery,Hook,"[""Hook"", ""DISSECT"", ""CysticArtery""]",0405e4b0-843a-469d-a235-6a12383bc1db
DISSECT,right,,,,2100,1500,C2,"The hook dissects around the cystic duct, between presumed cystic duct and presumed cystic artery.",,2070,0405e4b0-843a-469d-a235-6a12383bc1db__C2__avg__c_001500_002100,unsatisfied->satisfied,1,,,1860,between presumed cystic duct and presumed cystic artery,(not set),CysticDuct,Hook,"[""Hook"", ""DISSECT"", ""CysticDuct""]",0405e4b0-843a-469d-a235-6a12383bc1db
,left,,,yes,1350,900,C2,The grasper retracts the gallbladder neck from medial to lateral.,lateral,1230,06cc10f4-8b31-4112-b024-ea1818c5d096__C2__avg__c_000900_001350,unsatisfied->satisfied,1,RETRACT_MEDIAL_TO_LATERAL,medial,1170,,,,,,06cc10f4-8b31-4112-b024-ea1818c5d096
DISSECT,right,,,,1350,900,C2,The hook dissects around the cystic plate.,,1040,06cc10f4-8b31-4112-b024-ea1818c5d096__C2__avg__c_000900_001350,unsatisfied->satisfied,2,,,900,(not set),(not set),CysticPlate,Hook,"[""Hook"", ""DISSECT"", ""CysticPlate""]",06cc10f4-8b31-4112-b024-ea1818c5d096
IRRIGATOR_COUNTERTRACTION_ASSIST,right,,,,1350,900,C2,The hook irrigator countertraction assist the cystic plate.,,1260,06cc10f4-8b31-4112-b024-ea1818c5d096__C2__avg__c_000900_001350,unsatisfied->satisfied,2,,,1230,(not set),(not set),CysticPlate,Hook,"[""Hook"", ""IRRIGATOR_COUNTERTRACTION_ASSIST"", ""CysticPlate""]",06cc10f4-8b31-4112-b024-ea1818c5d096
RETRACT_DOWNWARD,right,,,,1350,900,C2,"The hook retract downward the hepatocystic triangle, near the base of the hepatocystic triangle.",,1350,06cc10f4-8b31-4112-b024-ea1818c5d096__C2__avg__c_000900_001350,unsatisfied->satisfied,2,,,1320,near the base of the hepatocystic triangle,(not set),HepatocysticTriangle,Hook,"[""Hook"", ""RETRACT_DOWNWARD"", ""HepatocysticTriangle""]",06cc10f4-8b31-4112-b024-ea1818c5d096
,left,,,no,2250,1800,C2,The grasper keeps the gallbladder neck retracted lateral.,lateral,2250,06cc10f4-8b31-4112-b024-ea1818c5d096__C2__avg__c_001800_002250,unsatisfied->satisfied,2,KEEP_RETRACT_LATERAL,lateral,1800,,,,,,06cc10f4-8b31-4112-b024-ea1818c5d096
TOOL_WITHDRAW_UNBLOCKS_VIEW,right,,,,2250,1800,C2,The maryland tool withdraw unblocks view the hepatocystic triangle.,,2250,06cc10f4-8b31-4112-b024-ea1818c5d096__C2__avg__c_001800_002250,unsatisfied->satisfied,1,,,1800,(not set),(not set),HepatocysticTriangle,Maryland,"[""Maryland"", ""TOOL_WITHDRAW_UNBLOCKS_VIEW"", ""HepatocysticTriangle""]",06cc10f4-8b31-4112-b024-ea1818c5d096
CAMERA_ZOOM_OUT,camera,,CAMERA_ZOOM_OUT,,2250,1800,C2,The camera zooms out.,,2250,06cc10f4-8b31-4112-b024-ea1818c5d096__C2__avg__c_001800_002250,unsatisfied->satisfied,3,,,2100,,,,,,06cc10f4-8b31-4112-b024-ea1818c5d096
,left,,,yes,1050,600,C3,The grasper retracts the gallbladder neck from lateral to medial.,medial,900,06cc10f4-8b31-4112-b024-ea1818c5d096__C3__avg__c_000600_001050,unsatisfied->satisfied,2,RETRACT_LATERAL_TO_MEDIAL,lateral,720,,,,,,06cc10f4-8b31-4112-b024-ea1818c5d096
DISSECT,right,,,,1050,600,C3,"The hook dissects around the cystic plate, between cystic artery and cystic plate.",,690,06cc10f4-8b31-4112-b024-ea1818c5d096__C3__avg__c_000600_001050,unsatisfied->satisfied,1,,,600,between cystic artery and cystic plate,(not set),CysticPlate,Hook,"[""Hook"", ""DISSECT"", ""CysticPlate""]",06cc10f4-8b31-4112-b024-ea1818c5d096
IRRIGATOR_COUNTERTRACTION_ASSIST,right,,,,1050,600,C3,"The hook irrigator countertraction assist the cystic artery, between cystic artery and cystic plate.",,810,06cc10f4-8b31-4112-b024-ea1818c5d096__C3__avg__c_000600_001050,unsatisfied->satisfied,1,,,750,between cystic artery and cystic plate,(not set),CysticArtery,Hook,"[""Hook"", ""IRRIGATOR_COUNTERTRACTION_ASSIST"", ""CysticArtery""]",06cc10f4-8b31-4112-b024-ea1818c5d096
DISSECT,right,,,,1050,600,C3,"The hook dissects around the cystic plate, between cystic artery and cystic plate.",,1050,06cc10f4-8b31-4112-b024-ea1818c5d096__C3__avg__c_000600_001050,unsatisfied->satisfied,1,,,900,between cystic artery and cystic plate,(not set),CysticPlate,Hook,"[""Hook"", ""DISSECT"", ""CysticPlate""]",06cc10f4-8b31-4112-b024-ea1818c5d096
,left,,,no,2100,1800,C3,The grasper keeps the gallbladder neck retracted lateral.,lateral,2100,06cc10f4-8b31-4112-b024-ea1818c5d096__C3__avg__c_001800_002100,unsatisfied->satisfied,2,KEEP_RETRACT_LATERAL,lateral,1800,,,,,,06cc10f4-8b31-4112-b024-ea1818c5d096
TOOL_WITHDRAW_UNBLOCKS_VIEW,right,,,,2100,1800,C3,The maryland tool withdraw unblocks view the cystic plate.,,2100,06cc10f4-8b31-4112-b024-ea1818c5d096__C3__avg__c_001800_002100,unsatisfied->satisfied,1,,,1800,(not set),(not set),CysticPlate,Maryland,"[""Maryland"", ""TOOL_WITHDRAW_UNBLOCKS_VIEW"", ""CysticPlate""]",06cc10f4-8b31-4112-b024-ea1818c5d096
,left,,,no,900,450,C3,The grasper keeps the gallbladder neck retracted lateral.,lateral,900,0a094835-5933-4f29-a184-6bfa46579272__C3__avg__c_000450_000900,unsatisfied->satisfied,3,KEEP_RETRACT_LATERAL,lateral,450,,,,,,0a094835-5933-4f29-a184-6bfa46579272
DISSECT,right,,,,900,450,C3,"The hook dissects around the cystic artery, between cystic artery and cystic plate.",,600,0a094835-5933-4f29-a184-6bfa46579272__C3__avg__c_000450_000900,unsatisfied->satisfied,4,,,450,between cystic artery and cystic plate,(not set),CysticArtery,Hook,"[""Hook"", ""DISSECT"", ""CysticArtery""]",0a094835-5933-4f29-a184-6bfa46579272
DISSECT,right,,,,900,450,C3,"The hook dissects around the cystic artery, between presumed cystic duct and presumed cystic artery.",,660,0a094835-5933-4f29-a184-6bfa46579272__C3__avg__c_000450_000900,unsatisfied->satisfied,4,,,600,between presumed cystic duct and presumed cystic artery,(not set),CysticArtery,Hook,"[""Hook"", ""DISSECT"", ""CysticArtery""]",0a094835-5933-4f29-a184-6bfa46579272
TOOL_WITHDRAW_UNBLOCKS_VIEW,right,,,,900,450,C3,The hook tool withdraw unblocks view the cystic plate.,,690,0a094835-5933-4f29-a184-6bfa46579272__C3__avg__c_000450_000900,unsatisfied->satisfied,1,,,660,(not set),(not set),CysticPlate,Hook,"[""Hook"", ""TOOL_WITHDRAW_UNBLOCKS_VIEW"", ""CysticPlate""]",0a094835-5933-4f29-a184-6bfa46579272
CAMERA_ZOOM_OUT,camera,,CAMERA_ZOOM_OUT,,900,450,C3,The camera zooms out.,,900,0a094835-5933-4f29-a184-6bfa46579272__C3__avg__c_000450_000900,unsatisfied->satisfied,2,,,750,,,,,,0a094835-5933-4f29-a184-6bfa46579272
,left,,,no,1500,1200,C3,The grasper keeps the gallbladder neck retracted lateral.,lateral,1500,0a094835-5933-4f29-a184-6bfa46579272__C3__avg__c_001200_001500,unsatisfied->satisfied,2,KEEP_RETRACT_LATERAL,lateral,1200,,,,,,0a094835-5933-4f29-a184-6bfa46579272
TOOL_WITHDRAW_UNBLOCKS_VIEW,right,,,,1500,1200,C3,"The maryland tool withdraw unblocks view the hepatocystic triangle, between presumed cystic duct and presumed cystic artery.",,1230,0a094835-5933-4f29-a184-6bfa46579272__C3__avg__c_001200_001500,unsatisfied->satisfied,1,,,1200,between presumed cystic duct and presumed cystic artery,(not set),HepatocysticTriangle,Maryland,"[""Maryland"", ""TOOL_WITHDRAW_UNBLOCKS_VIEW"", ""HepatocysticTriangle""]",0a094835-5933-4f29-a184-6bfa46579272
DISSECT,right,,,,1500,1200,C3,"The maryland dissects around the cystic duct, between presumed cystic duct and presumed cystic artery.",,1320,0a094835-5933-4f29-a184-6bfa46579272__C3__avg__c_001200_001500,unsatisfied->satisfied,1,,,1290,between presumed cystic duct and presumed cystic artery,(not set),CysticDuct,Maryland,"[""Maryland"", ""DISSECT"", ""CysticDuct""]",0a094835-5933-4f29-a184-6bfa46579272
TOOL_WITHDRAW_UNBLOCKS_VIEW,right,,,,1500,1200,C3,The maryland tool withdraw unblocks view the hepatocystic triangle.,,1350,0a094835-5933-4f29-a184-6bfa46579272__C3__avg__c_001200_001500,unsatisfied->satisfied,1,,,1320,(not set),(not set),HepatocysticTriangle,Maryland,"[""Maryland"", ""TOOL_WITHDRAW_UNBLOCKS_VIEW"", ""HepatocysticTriangle""]",0a094835-5933-4f29-a184-6bfa46579272
,left,,,no,2250,1950,C2,The grasper keeps the gallbladder neck retracted lateral.,lateral,2250,0c54c281-0d1f-4403-81ee-82fcfc3c0d76__C2__avg__c_001950_002250,unsatisfied->satisfied,1,KEEP_RETRACT_LATERAL,lateral,1950,,,,,,0c54c281-0d1f-4403-81ee-82fcfc3c0d76
CAMERA_REPOSITION,camera,,CAMERA_REPOSITION,,2250,1950,C2,The camera repositions.,,2100,0c54c281-0d1f-4403-81ee-82fcfc3c0d76__C2__avg__c_001950_002250,unsatisfied->satisfied,2,,,1950,,,,,,0c54c281-0d1f-4403-81ee-82fcfc3c0d76
CAMERA_ZOOM_IN,camera,,CAMERA_ZOOM_IN,,2250,1950,C2,The camera zooms in.,,2250,0c54c281-0d1f-4403-81ee-82fcfc3c0d76__C2__avg__c_001950_002250,unsatisfied->satisfied,2,,,2100,,,,,,0c54c281-0d1f-4403-81ee-82fcfc3c0d76
,left,,,no,2250,1950,C3,The grasper keeps the gallbladder neck retracted lateral.,lateral,2250,0c54c281-0d1f-4403-81ee-82fcfc3c0d76__C3__avg__c_001950_002250,unsatisfied->satisfied,1,KEEP_RETRACT_LATERAL,lateral,1950,,,,,,0c54c281-0d1f-4403-81ee-82fcfc3c0d76
CAMERA_REPOSITION,camera,,CAMERA_REPOSITION,,2250,1950,C3,The camera repositions.,,2100,0c54c281-0d1f-4403-81ee-82fcfc3c0d76__C3__avg__c_001950_002250,unsatisfied->satisfied,2,,,1950,,,,,,0c54c281-0d1f-4403-81ee-82fcfc3c0d76
CAMERA_ZOOM_IN,camera,,CAMERA_ZOOM_IN,,2250,1950,C3,The camera zooms in.,,2250,0c54c281-0d1f-4403-81ee-82fcfc3c0d76__C3__avg__c_001950_002250,unsatisfied->satisfied,2,,,2100,,,,,,0c54c281-0d1f-4403-81ee-82fcfc3c0d76
,left,,,yes,1800,1500,C2,The grasper retracts the gallbladder neck from not retracted to lateral.,lateral,1680,0e5b6b69-2ddb-497e-bc25-aad5fe062df8__C2__avg__c_001500_001800,unsatisfied->satisfied,1,RETRACT_LATERAL,not_retracted,1500,,,,,,0e5b6b69-2ddb-497e-bc25-aad5fe062df8
DISSECT,right,,,,1800,1500,C2,"The maryland dissects around the cystic artery, between cystic artery and cystic plate.",,1710,0e5b6b69-2ddb-497e-bc25-aad5fe062df8__C2__avg__c_001500_001800,unsatisfied->satisfied,3,,,1710,between cystic artery and cystic plate,(not set),CysticArtery,Maryland,"[""Maryland"", ""DISSECT"", ""CysticArtery""]",0e5b6b69-2ddb-497e-bc25-aad5fe062df8
CAMERA_UNCERTAIN,camera,,CAMERA_UNCERTAIN,,1800,1500,C2,The camera is uncertain.,,1800,0e5b6b69-2ddb-497e-bc25-aad5fe062df8__C2__avg__c_001500_001800,unsatisfied->satisfied,2,,,1650,,,,,,0e5b6b69-2ddb-497e-bc25-aad5fe062df8
