clip_id,video_name,criterion,granularity,start,mid,end,coarse_clip_id,stratum,country,country_collapsed,ioc,icg,robotic,device,weight
37419fbb-308e-4362-bcb4-e19b431179b2__C3__avg__f_002250_002400,37419fbb-308e-4362-bcb4-e19b431179b2,C3,fine,2250,,2400,37419fbb-308e-4362-bcb4-e19b431179b2__C3__avg__c_002100_002400,"(1,1,1)",22,other,0,0,0,-1,14.0
52fa51d6-7b5e-44bf-a10c-39bf2022068f__C2__avg__c_001950_002400,52fa51d6-7b5e-44bf-a10c-39bf2022068f,C2,coarse,1950,2250.0,2400,,"(0,1,0)",21,other,0,0,0,2,4.0
52fa51d6-7b5e-44bf-a10c-39bf2022068f__C2__avg__f_002100_002250,52fa51d6-7b5e-44bf-a10c-39bf2022068f,C2,fine,2100,,2250,52fa51d6-7b5e-44bf-a10c-39bf2022068f__C2__avg__c_001950_002400,"(0,1,0)",21,other,0,0,0,2,4.0
5eb56c91-26a5-40fc-995d-2694c09b8643__C2__avg__c_001200_001650,5eb56c91-26a5-40fc-995d-2694c09b8643,C2,coarse,1200,1500.0,1650,,"(0,1,0)",21,other,0,0,0,2,4.0
5eb56c91-26a5-40fc-995d-2694c09b8643__C2__avg__f_001350_001500,5eb56c91-26a5-40fc-995d-2694c09b8643,C2,fine,1350,,1500,5eb56c91-26a5-40fc-995d-2694c09b8643__C2__avg__c_001200_001650,"(0,1,0)",21,other,0,0,0,2,4.0
5eb56c91-26a5-40fc-995d-2694c09b8643__C2__avg__c_002100_002250,5eb56c91-26a5-40fc-995d-2694c09b8643,C2,coarse,2100,2250.0,2250,,"(0,1,0)",21,other,0,0,0,2,4.0
5eb56c91-26a5-40fc-995d-2694c09b8643__C2__avg__f_002100_002250,5eb56c91-26a5-40fc-995d-2694c09b8643,C2,fine,2100,,2250,5eb56c91-26a5-40fc-995d-2694c09b8643__C2__avg__c_002100_002250,"(0,1,0)",21,other,0,0,0,2,4.0
65f40922-5a16-4929-af41-f9cadd75d5fb__C2__avg__c_000900_001500,65f40922-5a16-4929-af41-f9cadd75d5fb,C2,coarse,900,1200.0,1500,,"(1,1,0)",3,other,0,0,0,0,5.333333333333333
65f40922-5a16-4929-af41-f9cadd75d5fb__C2__avg__f_001050_001200,65f40922-5a16-4929-af41-f9cadd75d5fb,C2,fine,1050,,1200,65f40922-5a16-4929-af41-f9cadd75d5fb__C2__avg__c_000900_001500,"(1,1,0)",3,other,0,0,0,0,5.333333333333333
65f40922-5a16-4929-af41-f9cadd75d5fb__C1__avg__f_001950_002100,65f40922-5a16-4929-af41-f9cadd75d5fb,C1,fine,1950,,2100,65f40922-5a16-4929-af41-f9cadd75d5fb__C1__avg__c_001950_002400,"(1,1,0)",3,other,0,0,0,0,5.333333333333333
65f40922-5a16-4929-af41-f9cadd75d5fb__C1__avg__c_001950_002400,65f40922-5a16-4929-af41-f9cadd75d5fb,C1,coarse,1950,2250.0,2400,,"(1,1,0)",3,other,0,0,0,0,5.333333333333333
65f40922-5a16-4929-af41-f9cadd75d5fb__C2__avg__c_001950_002400,65f40922-5a16-4929-af41-f9cadd75d5fb,C2,coarse,1950,2250.0,2400,,"(1,1,0)",3,other,0,0,0,0,5.333333333333333
65f40922-5a16-4929-af41-f9cadd75d5fb__C2__avg__f_002100_002250,65f40922-5a16-4929-af41-f9cadd75d5fb,C2,fine,2100,,2250,65f40922-5a16-4929-af41-f9cadd75d5fb__C2__avg__c_001950_002400,"(1,1,0)",3,other,0,0,0,0,5.333333333333333
660a6a01-b2ad-40e1-a709-79c57b1c8fa7__C3__avg__c_001200_001500,660a6a01-b2ad-40e1-a709-79c57b1c8fa7,C3,coarse,1200,1350.0,1500,,"(1,0,1)",0,0,0,0,0,-1,1.0
660a6a01-b2ad-40e1-a709-79c57b1c8fa7__C3__avg__f_001350_001500,660a6a01-b2ad-40e1-a709-79c57b1c8fa7,C3,fine,1350,,1500,660a6a01-b2ad-40e1-a709-79c57b1c8fa7__C3__avg__c_001200_001500,"(1,0,1)",0,0,0,0,0,-1,1.0
660a6a01-b2ad-40e1-a709-79c57b1c8fa7__C3__avg__c_001800_002100,660a6a01-b2ad-40e1-a709-79c57b1c8fa7,C3,coarse,1800,1950.0,2100,,"(1,0,1)",0,0,0,0,0,-1,1.0
660a6a01-b2ad-40e1-a709-79c57b1c8fa7__C1__avg__c_001800_002250,660a6a01-b2ad-40e1-a709-79c57b1c8fa7,C1,coarse,1800,2100.0,2250,,"(1,0,1)",0,0,0,0,0,-1,1.0
660a6a01-b2ad-40e1-a709-79c57b1c8fa7__C3__avg__f_001950_002100,660a6a01-b2ad-40e1-a709-79c57b1c8fa7,C3,fine,1950,,2100,660a6a01-b2ad-40e1-a709-79c57b1c8fa7__C3__avg__c_001800_002100,"(1,0,1)",0,0,0,0,0,-1,1.0
660a6a01-b2ad-40e1-a709-79c57b1c8fa7__C1__avg__f_002100_002250,660a6a01-b2ad-40e1-a709-79c57b1c8fa7,C1,fine,2100,,2250,660a6a01-b2ad-40e1-a709-79c57b1c8fa7__C1__avg__c_001800_002250,"(1,0,1)",0,0,0,0,0,-1,1.0
77ff5131-4a49-4b71-95a6-d8ce57186696__C2__avg__c_000900_001350,77ff5131-4a49-4b71-95a6-d8ce57186696,C2,coarse,900,1200.0,1350,,"(0,1,1)",6,6,0,0,0,4,4.0
77ff5131-4a49-4b71-95a6-d8ce57186696__C2__avg__f_001050_001200,77ff5131-4a49-4b71-95a6-d8ce57186696,C2,fine,1050,,1200,77ff5131-4a49-4b71-95a6-d8ce57186696__C2__avg__c_000900_001350,"(0,1,1)",6,6,0,0,0,4,4.0
77ff5131-4a49-4b71-95a6-d8ce57186696__C3__avg__c_001200_001650,77ff5131-4a49-4b71-95a6-d8ce57186696,C3,coarse,1200,1500.0,1650,,"(0,1,1)",6,6,0,0,0,4,4.0
77ff5131-4a49-4b71-95a6-d8ce57186696__C3__avg__f_001350_001500,77ff5131-4a49-4b71-95a6-d8ce57186696,C3,fine,1350,,1500,77ff5131-4a49-4b71-95a6-d8ce57186696__C3__avg__c_001200_001650,"(0,1,1)",6,6,0,0,0,4,4.0
8504ff91-785b-4f35-9998-4edd607d48e3__C1__avg__c_000150_000450,8504ff91-785b-4f35-9998-4edd607d48e3,C1,coarse,150,300.0,450,,"(1,0,0)",2,other,0,1,0,2,4.0
8504ff91-785b-4f35-9998-4edd607d48e3__C1__avg__f_000300_000450,8504ff91-785b-4f35-9998-4edd607d48e3,C1,fine,300,,450,8504ff91-785b-4f35-9998-4edd607d48e3__C1__avg__c_000150_000450,"(1,0,0)",2,other,0,1,0,2,4.0
850e2e68-46a9-4b66-b6f7-3c6de72af7e6__C1__avg__c_001050_001500,850e2e68-46a9-4b66-b6f7-3c6de72af7e6,C1,coarse,1050,1350.0,1500,,"(1,1,1)",0,0,0,0,0,-1,2.0
850e2e68-46a9-4b66-b6f7-3c6de72af7e6__C2__avg__c_001050_001500,850e2e68-46a9-4b66-b6f7-3c6de72af7e6,C2,coarse,1050,1350.0,1500,,"(1,1,1)",0,0,0,0,0,-1,2.0
850e2e68-46a9-4b66-b6f7-3c6de72af7e6__C3__avg__c_001050_001500,850e2e68-46a9-4b66-b6f7-3c6de72af7e6,C3,coarse,1050,1350.0,1500,,"(1,1,1)",0,0,0,0,0,-1,2.0
850e2e68-46a9-4b66-b6f7-3c6de72af7e6__C1__avg__f_001200_001350,850e2e68-46a9-4b66-b6f7-3c6de72af7e6,C1,fine,1200,,1350,850e2e68-46a9-4b66-b6f7-3c6de72af7e6__C1__avg__c_001050_001500,"(1,1,1)",0,0,0,0,0,-1,2.0
850e2e68-46a9-4b66-b6f7-3c6de72af7e6__C2__avg__f_001200_001350,850e2e68-46a9-4b66-b6f7-3c6de72af7e6,C2,fine,1200,,1350,850e2e68-46a9-4b66-b6f7-3c6de72af7e6__C2__avg__c_001050_001500,"(1,1,1)",0,0,0,0,0,-1,2.0
850e2e68-46a9-4b66-b6f7-3c6de72af7e6__C3__avg__f_001200_001350,850e2e68-46a9-4b66-b6f7-3c6de72af7e6,C3,fine,1200,,1350,850e2e68-46a9-4b66-b6f7-3c6de72af7e6__C3__avg__c_001050_001500,"(1,1,1)",0,0,0,0,0,-1,2.0
898c9065-6499-40fa-9142-152ebd5d7227__C2__avg__c_000600_001050,898c9065-6499-40fa-9142-152ebd5d7227,C2,coarse,600,900.0,1050,,"(0,1,0)",5,other,1,0,0,1,4.0
898c9065-6499-40fa-9142-152ebd5d7227__C2__avg__f_000750_000900,898c9065-6499-40fa-9142-152ebd5d7227,C2,fine,750,,900,898c9065-6499-40fa-9142-152ebd5d7227__C2__avg__c_000600_001050,"(0,1,0)",5,other,1,0,0,1,4.0
898c9065-6499-40fa-9142-152ebd5d7227__C2__avg__c_001350_001800,898c9065-6499-40fa-9142-152ebd5d7227,C2,coarse,1350,1650.0,1800,,"(0,1,0)",5,other,1,0,0,1,4.0
898c9065-6499-40fa-9142-152ebd5d7227__C2__avg__f_001500_001650,898c9065-6499-40fa-9142-152ebd5d7227,C2,fine,1500,,1650,898c9065-6499-40fa-9142-152ebd5d7227__C2__avg__c_001350_001800,"(0,1,0)",5,other,1,0,0,1,4.0
8c62744e-e3a8-455b-b6fc-0d3577303fc5__C3__avg__f_000150_000300,8c62744e-e3a8-455b-b6fc-0d3577303fc5,C3,fine,150,,300,8c62744e-e3a8-455b-b6fc-0d3577303fc5__C3__avg__c_000150_000600,"(1,1,1)",0,0,0,0,0,-1,2.0
8c62744e-e3a8-455b-b6fc-0d3577303fc5__C3__avg__c_000150_000600,8c62744e-e3a8-455b-b6fc-0d3577303fc5,C3,coarse,150,450.0,600,,"(1,1,1)",0,0,0,0,0,-1,2.0
8c62744e-e3a8-455b-b6fc-0d3577303fc5__C1__avg__f_000450_000600,8c62744e-e3a8-455b-b6fc-0d3577303fc5,C1,fine,450,,600,8c62744e-e3a8-455b-b6fc-0d3577303fc5__C1__avg__c_000450_000750,"(1,1,1)",0,0,0,0,0,-1,2.0
8c62744e-e3a8-455b-b6fc-0d3577303fc5__C2__avg__f_000450_000600,8c62744e-e3a8-455b-b6fc-0d3577303fc5,C2,fine,450,,600,8c62744e-e3a8-455b-b6fc-0d3577303fc5__C2__avg__c_000450_000750,"(1,1,1)",0,0,0,0,0,-1,2.0
8c62744e-e3a8-455b-b6fc-0d3577303fc5__C3__avg__f_000450_000600,8c62744e-e3a8-455b-b6fc-0d3577303fc5,C3,fine,450,,600,8c62744e-e3a8-455b-b6fc-0d3577303fc5__C3__avg__c_000150_000600,"(1,1,1)",0,0,0,0,0,-1,2.0
8c62744e-e3a8-455b-b6fc-0d3577303fc5__C1__avg__c_000450_000750,8c62744e-e3a8-455b-b6fc-0d3577303fc5,C1,coarse,450,600.0,750,,"(1,1,1)",0,0,0,0,0,-1,2.0
8c62744e-e3a8-455b-b6fc-0d3577303fc5__C2__avg__c_000450_000750,8c62744e-e3a8-455b-b6fc-0d3577303fc5,C2,coarse,450,600.0,750,,"(1,1,1)",0,0,0,0,0,-1,2.0
8c62744e-e3a8-455b-b6fc-0d3577303fc5__C1__avg__f_000900_001050,8c62744e-e3a8-455b-b6fc-0d3577303fc5,C1,fine,900,,1050,8c62744e-e3a8-455b-b6fc-0d3577303fc5__C1__avg__c_000900_001200,"(1,1,1)",0,0,0,0,0,-1,2.0
8c62744e-e3a8-455b-b6fc-0d3577303fc5__C3__avg__f_000900_001050,8c62744e-e3a8-455b-b6fc-0d3577303fc5,C3,fine,900,,1050,8c62744e-e3a8-455b-b6fc-0d3577303fc5__C3__avg__c_000900_001200,"(1,1,1)",0,0,0,0,0,-1,2.0
8c62744e-e3a8-455b-b6fc-0d3577303fc5__C1__avg__c_000900_001200,8c62744e-e3a8-455b-b6fc-0d3577303fc5,C1,coarse,900,1050.0,1200,,"(1,1,1)",0,0,0,0,0,-1,2.0
8c62744e-e3a8-455b-b6fc-0d3577303fc5__C3__avg__c_000900_001200,8c62744e-e3a8-455b-b6fc-0d3577303fc5,C3,coarse,900,1050.0,1200,,"(1,1,1)",0,0,0,0,0,-1,2.0
8c62744e-e3a8-455b-b6fc-0d3577303fc5__C3__avg__c_001800_002250,8c62744e-e3a8-455b-b6fc-0d3577303fc5,C3,coarse,1800,2100.0,2250,,"(1,1,1)",0,0,0,0,0,-1,2.0
8c62744e-e3a8-455b-b6fc-0d3577303fc5__C1__avg__f_001950_002100,8c62744e-e3a8-455b-b6fc-0d3577303fc5,C1,fine,1950,,2100,8c62744e-e3a8-455b-b6fc-0d3577303fc5__C1__avg__c_001950_002250,"(1,1,1)",0,0,0,0,0,-1,2.0
8c62744e-e3a8-455b-b6fc-0d3577303fc5__C2__avg__f_001950_002100,8c62744e-e3a8-455b-b6fc-0d3577303fc5,C2,fine,1950,,2100,8c62744e-e3a8-455b-b6fc-0d3577303fc5__C2__avg__c_001950_002250,"(1,1,1)",0,0,0,0,0,-1,2.0
8c62744e-e3a8-455b-b6fc-0d3577303fc5__C3__avg__f_001950_002100,8c62744e-e3a8-455b-b6fc-0d3577303fc5,C3,fine,1950,,2100,8c62744e-e3a8-455b-b6fc-0d3577303fc5__C3__avg__c_001800_002250,"(1,1,1)",0,0,0,0,0,-1,2.0
8c62744e-e3a8-455b-b6fc-0d3577303fc5__C1__avg__c_001950_002250,8c62744e-e3a8-455b-b6fc-0d3577303fc5,C1,coarse,1950,2100.0,2250,,"(1,1,1)",0,0,0,0,0,-1,2.0
8c62744e-e3a8-455b-b6fc-0d3577303fc5__C2__avg__c_001950_002250,8c62744e-e3a8-455b-b6fc-0d3577303fc5,C2,coarse,1950,2100.0,2250,,"(1,1,1)",0,0,0,0,0,-1,2.0
917a55f6-0776-45a4-88e3-14aef4661231__C3__avg__f_000000_000150,917a55f6-0776-45a4-88e3-14aef4661231,C3,fine,0,,150,917a55f6-0776-45a4-88e3-14aef4661231__C3__avg__c_000000_000300,"(1,1,1)",6,6,0,0,0,4,5.0
917a55f6-0776-45a4-88e3-14aef4661231__C3__avg__c_000000_000300,917a55f6-0776-45a4-88e3-14aef4661231,C3,coarse,0,150.0,300,,"(1,1,1)",6,6,0,0,0,4,5.0
917a55f6-0776-45a4-88e3-14aef4661231__C2__avg__f_000150_000300,917a55f6-0776-45a4-88e3-14aef4661231,C2,fine,150,,300,917a55f6-0776-45a4-88e3-14aef4661231__C2__avg__c_000150_000450,"(1,1,1)",6,6,0,0,0,4,5.0
917a55f6-0776-45a4-88e3-14aef4661231__C2__avg__c_000150_000450,917a55f6-0776-45a4-88e3-14aef4661231,C2,coarse,150,300.0,450,,"(1,1,1)",6,6,0,0,0,4,5.0
917a55f6-0776-45a4-88e3-14aef4661231__C2__avg__c_001050_001200,917a55f6-0776-45a4-88e3-14aef4661231,C2,coarse,1050,1200.0,1200,,"(1,1,1)",6,6,0,0,0,4,5.0
917a55f6-0776-45a4-88e3-14aef4661231__C2__avg__f_001050_001200,917a55f6-0776-45a4-88e3-14aef4661231,C2,fine,1050,,1200,917a55f6-0776-45a4-88e3-14aef4661231__C2__avg__c_001050_001200,"(1,1,1)",6,6,0,0,0,4,5.0
917a55f6-0776-45a4-88e3-14aef4661231__C1__avg__c_001050_001800,917a55f6-0776-45a4-88e3-14aef4661231,C1,coarse,1050,1500.0,1800,,"(1,1,1)",6,6,0,0,0,4,5.0
917a55f6-0776-45a4-88e3-14aef4661231__C1__avg__f_001200_001350,917a55f6-0776-45a4-88e3-14aef4661231,C1,fine,1200,,1350,917a55f6-0776-45a4-88e3-14aef4661231__C1__avg__c_001050_001800,"(1,1,1)",6,6,0,0,0,4,5.0
917a55f6-0776-45a4-88e3-14aef4661231__C3__avg__c_001350_001800,917a55f6-0776-45a4-88e3-14aef4661231,C3,coarse,1350,1650.0,1800,,"(1,1,1)",6,6,0,0,0,4,5.0
917a55f6-0776-45a4-88e3-14aef4661231__C1__avg__f_001500_001650,917a55f6-0776-45a4-88e3-14aef4661231,C1,fine,1500,,1650,917a55f6-0776-45a4-88e3-14aef4661231__C1__avg__c_001050_001800,"(1,1,1)",6,6,0,0,0,4,5.0
917a55f6-0776-45a4-88e3-14aef4661231__C3__avg__f_001500_001650,917a55f6-0776-45a4-88e3-14aef4661231,C3,fine,1500,,1650,917a55f6-0776-45a4-88e3-14aef4661231__C3__avg__c_001350_001800,"(1,1,1)",6,6,0,0,0,4,5.0
92063d81-cefd-4d83-be16-b759f82f819d__C1__avg__f_000000_000150,92063d81-cefd-4d83-be16-b759f82f819d,C1,fine,0,,150,92063d81-cefd-4d83-be16-b759f82f819d__C1__avg__c_000000_000300,"(1,1,0)",0,0,0,0,0,-1,10.0
92063d81-cefd-4d83-be16-b759f82f819d__C2__avg__c_000000_000150,92063d81-cefd-4d83-be16-b759f82f819d,C2,coarse,0,150.0,150,,"(1,1,0)",0,0,0,0,0,-1,10.0
92063d81-cefd-4d83-be16-b759f82f819d__C2__avg__f_000000_000150,92063d81-cefd-4d83-be16-b759f82f819d,C2,fine,0,,150,92063d81-cefd-4d83-be16-b759f82f819d__C2__avg__c_000000_000150,"(1,1,0)",0,0,0,0,0,-1,10.0
92063d81-cefd-4d83-be16-b759f82f819d__C1__avg__c_000000_000300,92063d81-cefd-4d83-be16-b759f82f819d,C1,coarse,0,150.0,300,,"(1,1,0)",0,0,0,0,0,-1,10.0
92063d81-cefd-4d83-be16-b759f82f819d__C2__avg__c_000600_001050,92063d81-cefd-4d83-be16-b759f82f819d,C2,coarse,600,900.0,1050,,"(1,1,0)",0,0,0,0,0,-1,10.0
92063d81-cefd-4d83-be16-b759f82f819d__C1__avg__f_000750_000900,92063d81-cefd-4d83-be16-b759f82f819d,C1,fine,750,,900,92063d81-cefd-4d83-be16-b759f82f819d__C1__avg__c_000750_001050,"(1,1,0)",0,0,0,0,0,-1,10.0
92063d81-cefd-4d83-be16-b759f82f819d__C2__avg__f_000750_000900,92063d81-cefd-4d83-be16-b759f82f819d,C2,fine,750,,900,92063d81-cefd-4d83-be16-b759f82f819d__C2__avg__c_000600_001050,"(1,1,0)",0,0,0,0,0,-1,10.0
92063d81-cefd-4d83-be16-b759f82f819d__C1__avg__c_000750_001050,92063d81-cefd-4d83-be16-b759f82f819d,C1,coarse,750,900.0,1050,,"(1,1,0)",0,0,0,0,0,-1,10.0
92063d81-cefd-4d83-be16-b759f82f819d__C2__avg__c_001650_002250,92063d81-cefd-4d83-be16-b759f82f819d,C2,coarse,1650,1950.0,2250,,"(1,1,0)",0,0,0,0,0,-1,10.0
92063d81-cefd-4d83-be16-b759f82f819d__C1__avg__c_001800_002250,92063d81-cefd-4d83-be16-b759f82f819d,C1,coarse,1800,2100.0,2250,,"(1,1,0)",0,0,0,0,0,-1,10.0
92063d81-cefd-4d83-be16-b759f82f819d__C1__avg__f_001950_002100,92063d81-cefd-4d83-be16-b759f82f819d,C1,fine,1950,,2100,92063d81-cefd-4d83-be16-b759f82f819d__C1__avg__c_001800_002250,"(1,1,0)",0,0,0,0,0,-1,10.0
92063d81-cefd-4d83-be16-b759f82f819d__C2__avg__f_002100_002250,92063d81-cefd-4d83-be16-b759f82f819d,C2,fine,2100,,2250,92063d81-cefd-4d83-be16-b759f82f819d__C2__avg__c_001650_002250,"(1,1,0)",0,0,0,0,0,-1,10.0
9d12c943-402f-4677-8bf4-46cdae46e990__C1__avg__c_000750_001200,9d12c943-402f-4677-8bf4-46cdae46e990,C1,coarse,750,1050.0,1200,,"(1,1,0)",20,other,0,0,1,7,5.333333333333333
9d12c943-402f-4677-8bf4-46cdae46e990__C2__avg__c_000750_001200,9d12c943-402f-4677-8bf4-46cdae46e990,C2,coarse,750,1050.0,1200,,"(1,1,0)",20,other,0,0,1,7,5.333333333333333
9d12c943-402f-4677-8bf4-46cdae46e990__C2__avg__f_000900_001050,9d12c943-402f-4677-8bf4-46cdae46e990,C2,fine,900,,1050,9d12c943-402f-4677-8bf4-46cdae46e990__C2__avg__c_000750_001200,"(1,1,0)",20,other,0,0,1,7,5.333333333333333
9d12c943-402f-4677-8bf4-46cdae46e990__C1__avg__f_001050_001200,9d12c943-402f-4677-8bf4-46cdae46e990,C1,fine,1050,,1200,9d12c943-402f-4677-8bf4-46cdae46e990__C1__avg__c_000750_001200,"(1,1,0)",20,other,0,0,1,7,5.333333333333333
9d12c943-402f-4677-8bf4-46cdae46e990__C1__avg__f_001500_001650,9d12c943-402f-4677-8bf4-46cdae46e990,C1,fine,1500,,1650,9d12c943-402f-4677-8bf4-46cdae46e990__C1__avg__c_001500_001800,"(1,1,0)",20,other,0,0,1,7,5.333333333333333
9d12c943-402f-4677-8bf4-46cdae46e990__C2__avg__f_001500_001650,9d12c943-402f-4677-8bf4-46cdae46e990,C2,fine,1500,,1650,9d12c943-402f-4677-8bf4-46cdae46e990__C2__avg__c_001500_001800,"(1,1,0)",20,other,0,0,1,7,5.333333333333333
9d12c943-402f-4677-8bf4-46cdae46e990__C1__avg__c_001500_001800,9d12c943-402f-4677-8bf4-46cdae46e990,C1,coarse,1500,1650.0,1800,,"(1,1,0)",20,other,0,0,1,7,5.333333333333333
9d12c943-402f-4677-8bf4-46cdae46e990__C2__avg__c_001500_001800,9d12c943-402f-4677-8bf4-46cdae46e990,C2,coarse,1500,1650.0,1800,,"(1,1,0)",20,other,0,0,1,7,5.333333333333333
be61a76a-ccd0-47d6-9aee-bec7b4c48426__C2__avg__c_001500_001800,be61a76a-ccd0-47d6-9aee-bec7b4c48426,C2,coarse,1500,1650.0,1800,,"(0,1,0)",6,6,0,0,0,4,12.0
be61a76a-ccd0-47d6-9aee-bec7b4c48426__C2__avg__f_001650_001800,be61a76a-ccd0-47d6-9aee-bec7b4c48426,C2,fine,1650,,1800,be61a76a-ccd0-47d6-9aee-bec7b4c48426__C2__avg__c_001500_001800,"(0,1,0)",6,6,0,0,0,4,12.0
c194d9a6-e8a8-4f1a-9745-ae9d022804ee__C2__avg__c_000750_001200,c194d9a6-e8a8-4f1a-9745-ae9d022804ee,C2,coarse,750,1050.0,1200,,"(1,1,0)",6,6,0,0,0,4,3.5
c194d9a6-e8a8-4f1a-9745-ae9d022804ee__C2__avg__f_000900_001050,c194d9a6-e8a8-4f1a-9745-ae9d022804ee,C2,fine,900,,1050,c194d9a6-e8a8-4f1a-9745-ae9d022804ee__C2__avg__c_000750_001200,"(1,1,0)",6,6,0,0,0,4,3.5
c194d9a6-e8a8-4f1a-9745-ae9d022804ee__C1__avg__c_001650_001950,c194d9a6-e8a8-4f1a-9745-ae9d022804ee,C1,coarse,1650,1800.0,1950,,"(1,1,0)",6,6,0,0,0,4,3.5
c194d9a6-e8a8-4f1a-9745-ae9d022804ee__C1__avg__f_001800_001950,c194d9a6-e8a8-4f1a-9745-ae9d022804ee,C1,fine,1800,,1950,c194d9a6-e8a8-4f1a-9745-ae9d022804ee__C1__avg__c_001650_001950,"(1,1,0)",6,6,0,0,0,4,3.5
c194d9a6-e8a8-4f1a-9745-ae9d022804ee__C2__avg__c_001950_002400,c194d9a6-e8a8-4f1a-9745-ae9d022804ee,C2,coarse,1950,2250.0,2400,,"(1,1,0)",6,6,0,0,0,4,3.5
c194d9a6-e8a8-4f1a-9745-ae9d022804ee__C2__avg__f_002250_002400,c194d9a6-e8a8-4f1a-9745-ae9d022804ee,C2,fine,2250,,2400,c194d9a6-e8a8-4f1a-9745-ae9d022804ee__C2__avg__c_001950_002400,"(1,1,0)",6,6,0,0,0,4,3.5
c8063d76-af4f-44da-afc6-12bcf8947595__C2__avg__c_001200_001350,c8063d76-af4f-44da-afc6-12bcf8947595,C2,coarse,1200,1350.0,1350,,"(1,1,0)",21,other,0,0,0,2,5.333333333333333
c8063d76-af4f-44da-afc6-12bcf8947595__C2__avg__f_001200_001350,c8063d76-af4f-44da-afc6-12bcf8947595,C2,fine,1200,,1350,c8063d76-af4f-44da-afc6-12bcf8947595__C2__avg__c_001200_001350,"(1,1,0)",21,other,0,0,0,2,5.333333333333333
